student_id,gender,age,attendance_rate,study_hours_weekly,previous_grades,assignment_completion,class_participation,extra_curricular,library_visits,online_resource_hours,parent_education,family_income,internet_access,tutoring,mentor_support,stress_level,motivation_score,final_grade,performance_category,pass_fail
189,Male,24,59.03,5.8,86.55,30.49,8.8,Yes,0,9.8,High School,Low,Yes,Yes,Yes,1.8,6.4,99.8,Excellent,Pass
190,Female,17,92.13,5.9,81.62,86.38,6.1,No,4,3.9,Bachelor,Medium,Yes,No,Yes,5.2,6.7,102.2,Excellent,Pass
191,Male,23,62.54,4.0,67.59,35.38,4.7,Yes,4,15.0,High School,Low,Yes,Yes,Yes,2.1,7.7,97.45,Excellent,Pass
192,Male,16,57.81,6.0,88.8,58.96,4.0,Yes,2,5.5,High School,High,No,Yes,No,1.7,3.7,108.27,Excellent,Pass
193,Male,18,78.94,1.6,53.75,77.52,2.1,No,4,7.6,Master,Medium,Yes,Yes,No,2.7,6.6,76.56,Average,Pass
194,Male,20,59.7,11.7,79.62,46.58,2.0,No,2,7.5,PhD,High,Yes,Yes,Yes,3.3,2.7,91.0,Excellent,Pass
195,Male,16,77.81,6.5,99.56,35.88,7.2,No,1,4.9,Bachelor,Low,Yes,No,No,3.5,3.0,86.12,Excellent,Pass
196,Female,22,76.59,8.5,52.02,83.9,3.3,Yes,1,8.6,Master,Low,Yes,No,Yes,6.8,1.6,81.08,Average,Pass
197,Female,22,73.81,6.2,77.18,74.11,3.3,Yes,1,9.5,High School,Medium,No,Yes,No,1.5,7.7,105.03,Excellent,Pass
198,Female,15,62.83,8.9,89.1,99.19,10.0,No,1,14.9,High School,Medium,Yes,No,Yes,1.7,5.6,124.41,Excellent,Pass
199,Male,17,72.91,5.5,94.11,54.1,2.7,No,2,15.3,Bachelor,Medium,Yes,No,No,2.7,3.1,71.92,Average,Pass
200,Male,24,75.79,10.5,80.26,34.32,2.3,Yes,1,3.2,Bachelor,Low,Yes,No,No,8.8,6.0,84.49,Average,Pass
201,Male,23,72.74,2.9,49.85,81.4,1.9,Yes,5,11.9,Master,Low,Yes,No,No,6.7,4.2,72.53,Average,Pass
202,Female,19,66.67,9.9,52.84,66.52,6.2,No,2,17.9,Bachelor,Medium,No,Yes,Yes,7.6,8.5,88.49,Excellent,Pass
203,Male,20,40.88,9.9,31.45,44.92,6.7,Yes,1,2.2,Bachelor,Low,Yes,Yes,Yes,4.3,5.8,86.54,Excellent,Pass
204,Male,18,75.22,1.5,83.26,84.72,4.3,No,3,9.5,Bachelor,Medium,Yes,No,No,2.9,1.3,84.05,Average,Pass
205,Female,24,50.11,3.3,32.99,44.26,5.8,Yes,5,15.0,High School,Medium,Yes,No,No,1.3,9.9,82.8,Average,Pass
206,Male,16,78.55,7.8,90.53,48.25,8.1,Yes,3,12.2,PhD,Low,Yes,No,No,5.4,1.7,96.71,Excellent,Pass
207,Female,22,85.56,6.0,38.31,36.48,8.4,No,3,2.0,Bachelor,Low,Yes,No,No,6.2,7.3,74.64,Average,Pass
208,Female,20,70.03,4.8,42.03,57.96,9.6,Yes,1,7.9,Bachelor,Low,Yes,No,No,9.1,4.9,66.38,Below Average,Pass
209,Female,19,72.54,2.1,63.36,59.33,8.4,Yes,2,10.1,Master,High,No,No,No,8.9,3.2,77.26,Average,Pass
210,Male,23,97.09,9.1,81.65,66.02,6.1,No,3,19.9,Bachelor,Medium,Yes,No,No,4.8,7.1,99.22,Excellent,Pass
211,Male,15,90.83,5.2,39.73,79.63,2.6,Yes,2,3.6,Master,High,Yes,No,Yes,4.8,2.1,53.98,Below Average,Fail
212,Male,19,94.85,5.4,60.8,93.43,1.9,Yes,4,19.6,High School,Low,Yes,No,No,2.5,8.7,95.38,Excellent,Pass
213,Male,20,88.83,6.0,63.8,39.64,1.5,No,4,7.5,High School,Medium,No,No,No,3.3,3.3,79.46,Average,Pass
214,Male,19,46.54,6.3,44.86,33.8,7.0,Yes,4,4.0,PhD,Low,Yes,No,No,9.3,4.3,72.7,Average,Pass
215,Male,20,48.94,3.1,38.09,31.3,8.3,Yes,2,8.3,Master,Medium,Yes,No,Yes,2.3,6.7,64.55,Below Average,Pass
216,Male,20,71.6,5.4,88.55,40.05,5.6,Yes,3,12.3,Bachelor,High,Yes,Yes,No,9.7,1.0,61.62,Below Average,Pass
217,Female,21,54.76,7.6,65.17,76.06,1.5,Yes,1,4.3,Bachelor,High,Yes,No,No,5.5,5.3,74.26,Average,Pass
218,Male,18,68.6,3.1,31.01,80.92,5.8,No,3,5.8,PhD,Medium,No,No,No,5.1,9.0,88.77,Excellent,Pass
219,Female,22,63.66,10.9,86.21,85.06,9.4,No,2,17.1,High School,High,Yes,No,Yes,2.6,7.1,112.53,Excellent,Pass
220,Male,21,72.96,9.6,98.66,47.06,6.4,Yes,0,20.0,High School,Low,No,No,No,7.0,4.5,90.5,Excellent,Pass
221,Male,23,84.81,4.4,72.41,51.41,8.3,No,3,6.4,Bachelor,Medium,No,Yes,Yes,5.1,6.9,91.3,Excellent,Pass
222,Male,21,82.93,4.6,65.26,63.82,8.2,No,4,3.0,High School,Medium,Yes,Yes,No,4.3,9.4,106.42,Excellent,Pass
223,Female,17,71.27,1.7,91.49,34.42,9.4,Yes,1,15.9,High School,High,Yes,No,No,3.4,2.7,92.97,Excellent,Pass
224,Female,17,89.34,7.4,96.68,72.78,7.9,No,2,12.0,Master,Low,Yes,Yes,No,1.6,5.8,119.66,Excellent,Pass
225,Female,22,65.85,6.8,82.82,98.86,7.7,Yes,5,2.0,High School,High,Yes,No,No,5.7,3.1,93.57,Excellent,Pass
226,Female,19,93.8,3.7,61.18,55.26,3.1,No,0,18.9,Master,Medium,No,Yes,No,3.8,8.7,99.52,Excellent,Pass
227,Male,18,44.28,10.6,71.46,82.7,1.5,No,1,1.6,Bachelor,Medium,Yes,No,No,7.4,7.5,83.22,Average,Pass
228,Female,22,97.28,5.5,79.07,65.0,5.7,Yes,2,12.5,Bachelor,Low,Yes,No,Yes,7.5,8.2,111.52,Excellent,Pass
229,Male,20,79.28,2.1,43.6,38.95,2.1,Yes,2,8.5,Bachelor,Medium,Yes,No,No,4.0,9.5,71.72,Average,Pass
230,Male,16,62.8,3.7,61.3,70.76,9.7,Yes,2,11.1,Bachelor,Medium,No,Yes,No,7.0,3.1,87.59,Excellent,Pass
231,Female,18,51.83,1.8,88.09,50.99,3.6,Yes,4,4.3,High School,Medium,Yes,No,Yes,3.3,1.4,75.77,Average,Pass
232,Female,18,68.75,26.8,75.83,32.41,8.7,Yes,3,13.8,High School,High,Yes,Yes,No,7.5,3.6,135.1,Excellent,Pass
233,Female,20,51.67,1.8,58.78,74.45,4.5,No,3,19.2,Master,Medium,Yes,Yes,Yes,1.1,4.6,69.3,Below Average,Pass
234,Female,20,49.98,5.1,76.44,90.13,3.9,Yes,2,9.2,High School,Medium,Yes,Yes,Yes,2.4,6.6,99.46,Excellent,Pass
235,Female,15,77.04,3.4,38.28,54.13,9.4,Yes,3,10.5,High School,High,Yes,No,No,3.2,8.2,80.11,Average,Pass
236,Female,22,71.39,1.3,58.1,57.32,4.3,No,1,4.8,PhD,Medium,Yes,Yes,No,8.0,4.1,59.04,Below Average,Fail
237,Female,20,80.21,12.5,85.52,92.37,4.5,Yes,2,17.8,PhD,Medium,Yes,No,No,1.6,5.3,113.55,Excellent,Pass
238,Female,17,95.78,3.1,45.44,86.95,2.0,No,0,19.4,Bachelor,Low,Yes,Yes,No,2.7,8.1,74.45,Average,Pass
239,Male,23,71.94,8.2,43.02,80.05,7.0,No,4,15.7,High School,Medium,Yes,Yes,No,4.2,3.0,91.14,Excellent,Pass
240,Female,16,74.86,2.5,96.56,47.42,3.6,Yes,4,10.9,Master,Medium,Yes,Yes,Yes,1.1,3.0,96.95,Excellent,Pass
241,Female,22,45.38,8.0,44.69,93.72,6.3,Yes,6,19.1,Master,High,Yes,No,Yes,7.9,6.3,82.39,Average,Pass
242,Male,24,83.06,1.2,48.26,40.81,6.3,Yes,3,3.1,High School,Medium,Yes,Yes,No,6.0,4.9,71.13,Average,Pass
243,Female,17,63.99,13.0,97.87,73.87,7.5,No,4,9.6,High School,Low,Yes,No,No,9.1,9.5,110.06,Excellent,Pass
244,Male,19,98.6,4.7,81.43,32.02,7.7,Yes,1,10.8,Master,Medium,Yes,No,No,1.3,4.2,117.76,Excellent,Pass
245,Male,20,89.39,2.5,78.97,75.06,5.6,No,3,9.8,PhD,Low,Yes,No,No,3.4,7.8,92.15,Excellent,Pass
246,Female,24,71.35,11.4,89.7,49.4,4.0,No,1,16.0,Master,Medium,Yes,Yes,Yes,7.6,6.2,90.25,Excellent,Pass
247,Male,20,47.39,3.8,38.11,61.48,8.5,Yes,3,13.4,High School,Medium,Yes,No,No,7.1,1.5,37.04,At Risk,Fail
248,Male,18,91.56,1.9,79.42,54.17,3.8,No,2,2.5,Bachelor,Medium,Yes,No,No,3.2,1.8,81.93,Average,Pass
249,Male,17,87.99,6.1,65.26,42.09,5.6,Yes,5,6.9,Bachelor,High,Yes,No,No,6.4,2.8,64.76,Below Average,Pass
250,Male,18,51.08,4.0,88.04,73.54,4.6,No,4,6.8,High School,Medium,Yes,No,Yes,8.1,2.3,67.72,Below Average,Pass
251,Female,15,57.72,5.6,65.57,91.74,8.7,Yes,1,11.3,High School,Medium,Yes,No,No,1.3,4.0,117.28,Excellent,Pass
252,Male,18,87.6,7.9,73.42,97.14,4.9,No,4,5.8,High School,Low,Yes,Yes,Yes,7.5,6.2,107.06,Excellent,Pass
253,Female,15,51.11,4.2,63.44,43.46,4.5,Yes,2,2.3,Bachelor,Medium,No,No,No,3.3,6.4,78.74,Average,Pass
254,Male,15,95.07,8.8,63.47,80.22,7.2,No,1,13.1,Bachelor,High,Yes,Yes,Yes,9.5,6.3,98.85,Excellent,Pass
255,Male,24,65.47,8.2,83.76,76.5,6.4,Yes,6,17.0,Master,Low,No,Yes,No,5.8,2.1,95.42,Excellent,Pass
256,Male,20,45.22,0.3,74.0,54.04,2.0,Yes,1,18.6,Master,Medium,Yes,Yes,No,1.3,6.4,82.78,Average,Pass
257,Male,19,88.94,10.5,74.33,31.34,5.6,Yes,4,19.5,PhD,Medium,Yes,No,No,4.6,4.7,98.27,Excellent,Pass
258,Female,18,62.41,4.8,61.52,78.29,7.6,Yes,4,15.6,Master,Low,Yes,No,No,9.7,9.1,68.83,Below Average,Pass
259,Female,17,71.59,7.8,67.18,96.18,9.9,No,6,2.8,High School,Low,Yes,Yes,Yes,7.6,9.2,119.93,Excellent,Pass
260,Male,15,46.74,3.5,82.2,74.25,6.7,No,6,17.1,Bachelor,Low,Yes,No,No,3.7,7.9,95.26,Excellent,Pass
261,Male,20,40.16,5.8,87.82,60.47,4.3,Yes,1,8.0,Bachelor,High,No,No,No,6.2,7.3,109.01,Excellent,Pass
262,Female,16,78.28,3.6,78.76,66.76,3.0,Yes,4,14.6,High School,Medium,Yes,No,No,6.4,2.0,72.57,Average,Pass
263,Male,22,70.91,3.6,94.69,43.97,8.9,Yes,6,10.6,PhD,Medium,Yes,Yes,No,1.2,1.8,99.78,Excellent,Pass
264,Male,24,75.61,3.6,87.42,82.54,8.3,Yes,6,16.6,High School,Medium,Yes,No,No,2.6,8.6,117.48,Excellent,Pass
265,Male,19,87.62,2.8,69.33,82.25,3.1,Yes,2,8.5,Bachelor,Low,No,Yes,No,6.0,4.8,92.33,Excellent,Pass
266,Female,21,78.8,11.8,77.0,40.19,2.8,Yes,4,1.2,Bachelor,Medium,No,Yes,No,4.6,5.1,83.04,Average,Pass
267,Female,24,50.49,3.9,94.84,91.46,7.4,Yes,4,11.1,Bachelor,Low,Yes,No,No,2.7,8.6,118.11,Excellent,Pass
268,Female,16,61.65,3.7,73.34,48.84,3.8,Yes,3,3.4,Bachelor,Low,Yes,No,Yes,8.0,6.6,67.04,Below Average,Pass
269,Male,22,94.35,8.1,87.74,98.76,3.8,No,2,19.3,Bachelor,High,No,No,Yes,5.4,2.6,93.15,Excellent,Pass
270,Male,16,86.2,2.0,78.22,56.8,2.4,Yes,0,10.5,High School,Low,Yes,No,Yes,3.8,2.9,66.51,Below Average,Pass
271,Female,18,73.4,4.0,68.64,42.45,3.4,Yes,3,11.1,High School,High,Yes,No,Yes,2.5,1.1,65.38,Below Average,Pass
272,Female,15,55.34,4.3,46.93,54.62,4.8,No,0,18.1,PhD,Medium,Yes,Yes,No,6.5,7.4,73.66,Average,Pass
273,Female,19,58.12,2.6,59.82,60.81,7.6,No,1,12.5,High School,Low,Yes,Yes,Yes,7.0,5.4,77.87,Average,Pass
274,Female,23,83.92,1.4,97.74,34.85,4.0,Yes,3,6.1,High School,Medium,Yes,No,Yes,7.0,9.5,92.73,Excellent,Pass
275,Male,15,91.07,5.8,76.04,70.48,4.0,No,3,5.9,Bachelor,Medium,No,No,No,3.0,7.4,97.79,Excellent,Pass
276,Female,23,80.29,7.0,69.51,71.83,3.6,No,1,10.0,High School,Medium,Yes,No,No,6.4,1.9,71.27,Average,Pass
277,Male,22,88.57,4.9,95.31,81.73,5.3,Yes,8,17.3,Bachelor,Low,Yes,No,No,9.1,2.5,95.38,Excellent,Pass
278,Female,20,86.0,11.6,71.06,32.04,2.6,Yes,3,15.9,Bachelor,Low,Yes,No,No,4.2,5.5,84.89,Average,Pass
279,Male,21,48.98,6.4,66.83,67.89,5.4,Yes,1,19.3,Master,High,Yes,No,Yes,2.9,9.3,102.16,Excellent,Pass
280,Female,17,65.44,5.2,83.15,33.7,7.3,Yes,2,1.4,Master,Medium,Yes,Yes,Yes,7.9,3.2,75.91,Average,Pass
281,Female,15,49.18,6.9,79.89,79.08,1.3,Yes,3,5.4,High School,Low,Yes,Yes,No,2.6,8.4,120.25,Excellent,Pass
282,Female,19,54.11,4.1,43.52,33.9,1.1,No,1,1.6,Bachelor,High,Yes,No,No,3.3,3.8,55.51,Below Average,Fail
283,Female,16,92.16,9.0,62.99,93.82,1.7,Yes,3,15.0,High School,Low,Yes,No,No,1.9,3.4,86.07,Excellent,Pass
284,Male,19,68.37,4.2,63.08,79.15,5.8,Yes,3,2.8,High School,Low,Yes,No,No,3.4,9.1,117.38,Excellent,Pass
285,Female,22,72.12,4.0,56.48,65.52,8.7,Yes,5,2.0,Bachelor,Low,Yes,Yes,Yes,4.7,1.4,89.83,Excellent,Pass
286,Male,23,50.71,6.4,66.21,60.91,1.0,Yes,5,11.2,High School,Medium,Yes,No,No,1.6,6.9,75.97,Average,Pass
287,Male,16,58.74,4.0,58.92,39.15,9.4,No,6,8.2,Bachelor,Low,Yes,No,Yes,8.8,1.4,57.63,Below Average,Fail
288,Male,17,53.81,1.2,43.95,50.37,2.0,Yes,4,14.3,Master,Medium,Yes,No,No,5.6,8.2,55.3,Below Average,Fail
289,Male,17,52.37,7.1,58.87,90.83,8.6,No,1,9.7,Master,High,Yes,Yes,No,6.3,8.5,92.31,Excellent,Pass
290,Female,15,78.28,8.4,35.06,93.31,5.3,Yes,1,8.5,Master,Low,Yes,No,No,4.3,9.0,112.69,Excellent,Pass
291,Male,22,55.41,4.6,70.31,30.05,6.9,Yes,5,8.5,High School,Medium,Yes,No,No,7.0,2.7,58.29,Below Average,Fail
292,Male,20,77.92,6.2,89.76,71.59,5.6,No,4,17.4,Bachelor,Medium,Yes,No,No,4.9,2.1,69.89,Below Average,Pass
293,Male,22,43.51,4.3,80.77,80.35,5.3,Yes,3,7.9,High School,Medium,Yes,No,No,7.9,5.5,87.46,Excellent,Pass
294,Female,23,48.51,5.8,55.23,73.31,8.5,Yes,1,6.7,Bachelor,High,Yes,No,No,8.4,3.4,91.39,Excellent,Pass
295,Female,19,56.47,2.9,36.09,35.72,7.8,No,1,6.8,High School,Medium,Yes,Yes,No,7.0,6.5,83.42,Average,Pass
296,Female,17,75.82,16.9,44.15,45.24,5.4,Yes,1,3.9,High School,Low,No,Yes,No,5.4,5.6,121.88,Excellent,Pass
297,Female,19,80.55,14.4,68.18,47.52,2.0,No,1,17.2,Bachelor,Medium,Yes,No,No,8.0,2.3,97.82,Excellent,Pass
298,Male,19,66.56,2.6,44.49,88.22,2.0,No,2,2.9,Master,Low,Yes,Yes,No,5.4,7.7,72.41,Average,Pass
299,Male,19,66.75,5.2,68.08,62.42,8.2,Yes,0,18.2,Master,Medium,Yes,No,Yes,2.0,8.2,100.37,Excellent,Pass
300,Female,17,83.47,6.0,46.21,64.08,5.8,Yes,0,5.7,Bachelor,Low,Yes,Yes,No,2.0,9.7,94.25,Excellent,Pass
301,Male,24,40.95,6.1,89.42,95.44,5.3,Yes,2,18.0,Bachelor,Low,Yes,No,No,9.5,4.6,71.75,Average,Pass
302,Male,18,60.47,9.2,57.81,74.6,7.1,Yes,0,15.8,Bachelor,Medium,Yes,No,No,2.9,4.0,101.83,Excellent,Pass
303,Male,23,89.12,3.7,47.19,92.91,8.7,No,5,11.6,Bachelor,Low,Yes,Yes,No,8.3,2.7,87.48,Excellent,Pass
304,Female,24,76.19,6.8,86.86,61.96,6.7,No,4,13.4,High School,Medium,Yes,No,Yes,3.2,2.6,101.71,Excellent,Pass
305,Female,23,60.23,4.8,54.0,40.46,7.9,Yes,2,6.5,Master,Low,No,No,Yes,4.9,3.9,62.92,Below Average,Pass
306,Male,16,94.33,2.0,37.8,95.1,7.9,Yes,1,11.5,Bachelor,High,Yes,Yes,No,6.9,9.8,102.45,Excellent,Pass
307,Female,22,86.36,7.9,69.93,62.11,4.2,Yes,2,5.8,High School,Low,Yes,No,Yes,2.4,1.8,91.01,Excellent,Pass
308,Female,22,55.89,5.2,70.71,42.71,3.5,Yes,1,8.0,High School,High,Yes,Yes,Yes,7.6,3.3,83.51,Average,Pass
309,Female,21,78.72,4.6,80.03,51.17,8.2,No,2,15.3,High School,Medium,Yes,No,Yes,7.2,1.8,58.38,Below Average,Fail
310,Female,22,75.75,5.0,46.82,33.56,4.4,Yes,5,4.9,Bachelor,Medium,Yes,Yes,Yes,5.9,3.5,71.1,Average,Pass
311,Female,17,64.07,8.0,61.06,62.78,9.1,No,6,16.8,Master,Low,Yes,Yes,No,6.1,1.8,88.46,Excellent,Pass
312,Male,20,62.02,3.3,49.77,89.72,1.6,No,4,7.5,Bachelor,Medium,Yes,No,No,2.0,5.6,81.19,Average,Pass
313,Female,15,60.61,2.2,35.67,95.35,1.5,No,2,10.6,Bachelor,Medium,Yes,No,No,4.9,4.9,71.46,Average,Pass
314,Male,21,77.03,3.8,91.36,95.28,9.3,Yes,3,18.8,PhD,Medium,Yes,Yes,No,1.8,2.6,110.45,Excellent,Pass
315,Male,15,66.54,6.1,81.02,38.77,6.8,No,4,13.6,High School,Medium,Yes,No,Yes,3.8,2.6,64.16,Below Average,Pass
316,Female,23,89.91,3.7,51.1,56.74,4.4,No,1,12.9,High School,Medium,Yes,No,Yes,9.1,6.6,53.55,Below Average,Fail
317,Male,15,80.18,6.5,71.96,31.98,7.8,No,0,14.2,Bachelor,Medium,Yes,No,No,6.2,4.5,78.77,Average,Pass
318,Male,15,44.2,6.8,44.09,89.86,7.1,Yes,7,18.4,Master,Low,Yes,No,No,7.7,1.5,64.72,Below Average,Pass
319,Male,21,78.41,4.8,92.32,55.11,5.8,Yes,2,5.0,Bachelor,Low,Yes,No,Yes,6.2,9.3,95.72,Excellent,Pass
320,Female,16,56.27,6.8,38.04,74.18,1.9,No,6,12.3,Bachelor,Medium,Yes,No,No,2.7,4.6,75.99,Average,Pass
321,Female,19,75.57,5.2,30.27,80.04,8.3,Yes,2,8.0,PhD,Low,Yes,No,No,6.4,6.3,74.35,Average,Pass
322,Male,22,80.81,5.5,65.14,60.09,8.8,Yes,3,0.2,Master,Low,No,No,No,7.8,9.0,91.16,Excellent,Pass
323,Female,22,53.85,6.7,70.82,51.45,2.5,No,6,2.5,High School,Low,Yes,Yes,Yes,2.2,4.6,93.26,Excellent,Pass
324,Female,17,67.41,5.7,70.53,97.35,8.7,Yes,4,6.5,Master,Low,No,Yes,No,8.4,8.4,101.15,Excellent,Pass
325,Female,21,51.42,1.9,33.82,97.51,8.9,Yes,2,11.3,High School,Medium,Yes,Yes,Yes,6.0,9.2,101.04,Excellent,Pass
326,Female,17,43.14,13.1,51.98,50.26,5.9,Yes,7,17.6,Bachelor,Medium,Yes,Yes,No,1.0,2.6,89.97,Excellent,Pass
327,Male,20,62.71,5.7,64.94,63.57,6.9,No,5,15.8,High School,High,Yes,Yes,No,5.7,9.0,102.3,Excellent,Pass
328,Male,20,61.78,3.1,45.16,98.1,4.4,Yes,5,11.1,Bachelor,Medium,Yes,No,No,4.6,2.1,78.33,Average,Pass
329,Female,17,99.73,6.9,91.08,30.34,3.5,No,0,1.5,Bachelor,High,Yes,No,Yes,3.7,3.5,86.91,Excellent,Pass
330,Female,21,66.78,13.4,36.1,58.89,7.5,Yes,2,5.7,Master,Medium,Yes,Yes,Yes,7.9,8.3,89.48,Excellent,Pass
331,Male,17,60.01,3.5,64.12,37.03,8.8,Yes,1,7.3,Bachelor,High,No,Yes,No,9.1,9.1,78.96,Average,Pass
332,Male,22,74.83,15.2,78.4,65.64,6.9,No,5,12.4,Bachelor,High,Yes,Yes,No,7.9,7.2,115.54,Excellent,Pass
333,Female,24,45.33,8.3,48.32,31.73,5.6,Yes,3,1.3,High School,Medium,Yes,No,No,8.6,1.9,47.49,At Risk,Fail
334,Male,18,97.7,1.5,73.7,58.48,2.4,No,8,10.6,PhD,Medium,Yes,No,No,9.2,5.7,81.32,Average,Pass
335,Female,15,78.1,15.8,88.06,45.45,1.5,Yes,2,18.0,Master,Low,Yes,Yes,Yes,9.2,6.2,105.42,Excellent,Pass
336,Female,18,85.29,1.6,43.32,67.33,5.0,Yes,3,14.1,High School,Low,Yes,No,No,2.0,3.5,58.55,Below Average,Fail
337,Male,21,50.23,5.9,94.21,99.72,1.4,Yes,2,15.9,PhD,High,Yes,No,Yes,5.1,9.9,121.5,Excellent,Pass
338,Male,18,64.57,4.9,68.75,86.04,6.1,Yes,3,13.6,Bachelor,High,Yes,No,Yes,1.0,4.0,88.48,Excellent,Pass
339,Female,20,65.36,2.7,50.95,89.19,4.4,No,5,4.1,Bachelor,Medium,Yes,Yes,No,5.6,2.9,71.61,Average,Pass
340,Female,23,89.31,7.5,60.16,74.47,7.8,No,8,2.2,Master,High,Yes,No,No,9.3,2.0,81.42,Average,Pass
341,Male,15,40.07,10.8,51.85,32.91,3.8,Yes,3,16.6,High School,High,Yes,No,No,2.8,4.4,72.03,Average,Pass
342,Female,19,58.05,2.0,80.76,44.48,6.3,Yes,3,13.9,PhD,Medium,Yes,No,No,6.8,7.2,92.45,Excellent,Pass
343,Male,21,98.87,12.1,85.74,94.75,5.8,No,5,11.5,Bachelor,Medium,No,No,No,6.8,3.1,88.11,Excellent,Pass
344,Female,15,68.49,8.2,88.31,55.63,1.0,Yes,2,3.8,High School,Medium,No,No,Yes,2.4,7.9,105.73,Excellent,Pass
345,Male,18,62.95,11.7,99.0,37.25,1.7,Yes,4,12.1,Master,Medium,Yes,No,No,3.1,2.2,90.43,Excellent,Pass
346,Male,20,47.19,5.3,85.39,79.17,3.6,No,3,0.6,Master,Low,Yes,No,No,5.2,5.0,70.76,Average,Pass
347,Male,16,98.45,15.6,72.1,50.96,8.9,No,5,2.4,High School,Medium,Yes,No,No,2.7,7.3,121.14,Excellent,Pass
348,Female,24,41.2,6.6,53.75,48.82,2.3,No,4,6.2,High School,Medium,Yes,No,No,6.3,2.2,63.05,Below Average,Pass
349,Female,19,84.23,6.4,68.12,99.86,7.4,No,4,8.9,Master,Medium,Yes,No,No,5.4,6.4,105.13,Excellent,Pass
350,Male,24,86.12,6.2,32.87,90.07,9.8,No,2,2.4,High School,High,No,Yes,No,5.7,8.2,103.83,Excellent,Pass
351,Female,15,54.62,1.7,82.14,58.56,8.1,Yes,4,2.4,PhD,Medium,Yes,No,No,2.2,6.4,98.84,Excellent,Pass
352,Male,20,80.29,7.5,61.22,98.62,3.2,Yes,5,14.5,Master,Low,Yes,No,No,5.7,5.6,99.16,Excellent,Pass
353,Male,20,45.58,2.4,31.4,75.51,9.2,Yes,3,11.4,Bachelor,High,Yes,No,Yes,1.4,8.5,84.32,Average,Pass
354,Female,18,55.42,2.7,34.38,81.94,1.8,No,0,10.7,Bachelor,Medium,No,Yes,No,8.9,9.9,74.12,Average,Pass
355,Female,22,87.27,1.3,57.12,32.21,5.2,No,3,9.0,Bachelor,Low,No,No,Yes,4.1,2.6,67.95,Below Average,Pass
356,Male,18,91.88,1.5,70.84,38.51,9.0,No,6,19.5,Bachelor,Medium,Yes,No,Yes,8.7,7.2,85.02,Excellent,Pass
357,Female,22,76.51,10.7,62.49,74.32,6.8,No,5,1.0,Master,Medium,Yes,No,Yes,7.3,1.7,72.32,Average,Pass
358,Female,22,70.41,4.9,73.34,92.93,4.7,No,3,3.6,PhD,High,Yes,No,Yes,7.9,1.4,73.11,Average,Pass
359,Male,19,49.56,0.7,63.62,73.66,3.6,No,1,13.0,Bachelor,Medium,Yes,Yes,No,3.8,3.5,66.46,Below Average,Pass
360,Male,18,43.79,6.5,76.32,39.38,4.4,Yes,6,2.7,Bachelor,Low,Yes,Yes,No,3.0,9.7,106.66,Excellent,Pass
361,Female,16,47.06,9.2,45.34,38.1,5.6,No,3,11.8,High School,Medium,Yes,No,Yes,4.7,6.0,86.14,Excellent,Pass
362,Male,17,53.64,3.2,37.9,89.09,3.9,Yes,2,11.4,Bachelor,High,Yes,Yes,Yes,1.2,3.4,86.38,Excellent,Pass
363,Male,17,60.5,3.6,71.75,39.75,9.7,Yes,3,19.4,Bachelor,Medium,Yes,No,No,9.3,2.2,61.9,Below Average,Pass
364,Female,18,62.85,9.7,63.93,66.42,9.4,No,6,17.7,Bachelor,High,Yes,No,Yes,4.5,9.3,108.61,Excellent,Pass
365,Male,18,60.78,4.1,31.88,32.6,8.8,No,1,18.9,High School,Low,Yes,No,No,9.9,4.3,30.2,At Risk,Fail
366,Male,24,54.34,11.1,56.63,35.65,4.8,Yes,3,2.3,Master,High,Yes,Yes,Yes,7.9,3.8,78.51,Average,Pass
367,Female,19,70.58,5.3,37.43,77.06,7.2,Yes,1,17.4,Bachelor,Medium,Yes,Yes,Yes,1.7,8.7,115.7,Excellent,Pass
368,Female,18,89.52,10.7,67.19,78.24,9.1,No,4,2.6,Master,Medium,Yes,No,No,6.9,6.4,108.36,Excellent,Pass
369,Male,24,56.78,4.1,57.7,53.9,8.7,No,1,12.7,Master,Medium,Yes,No,No,3.4,2.5,72.3,Average,Pass
370,Male,22,96.54,11.3,72.92,45.09,4.7,No,2,14.4,Bachelor,High,No,Yes,No,3.2,4.8,120.36,Excellent,Pass
371,Female,20,92.4,2.1,86.39,86.96,2.0,Yes,5,3.2,Bachelor,Medium,Yes,No,Yes,3.3,9.4,87.68,Excellent,Pass
372,Female,20,49.71,6.9,50.98,45.2,1.7,Yes,2,12.7,Bachelor,High,Yes,No,No,9.2,9.1,57.06,Below Average,Fail
373,Female,22,87.18,3.9,97.35,67.94,6.2,Yes,3,1.0,High School,Medium,Yes,Yes,No,5.5,1.6,100.34,Excellent,Pass
374,Female,21,74.48,5.2,67.49,97.77,6.8,Yes,4,5.9,Master,Low,Yes,Yes,Yes,7.0,3.4,104.54,Excellent,Pass
375,Male,24,73.99,8.1,73.28,40.35,8.6,Yes,3,18.4,High School,Medium,No,No,Yes,3.5,2.4,94.3,Excellent,Pass
376,Female,24,63.46,4.8,77.65,95.86,3.6,No,6,3.4,Bachelor,Medium,Yes,Yes,Yes,5.7,5.8,86.97,Excellent,Pass
377,Female,22,70.07,8.6,76.67,42.8,2.5,Yes,3,1.3,High School,Medium,Yes,Yes,No,4.2,7.7,91.64,Excellent,Pass
